title,service,citation,dataDownload,description,license,organization,organization-long,source,short-description,subtitle,id
"Coastal Tribal Lands -- U.S. ","89","","ftp://ftp.coast.noaa.gov/pub/MSP/CoastalTribalLands.zip","","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://catalog.data.gov/dataset/coastal-tribal-lands","This dataset depicts feature location, selected demographics, and other associated data for American Indian Reservations (AIR), Alaska Native Villages (ANV), Federally Recognized Tribal Entities (FRTE), Public Domain Allotments (PDAs), and off-reservation trust lands. This is NOT a complete collection of tribal lands, nor are the locations to be considered exact. The presence and location of the tribal lands have been derived from multiple sources. These data are intended for coastal and ocean planning. Not for navigation.","BIA Coastal Tribal Lands",3c542216-9840-45ec-803d-7df977302099
"Social Vulnerability Index (2006-2010) -- U.S. (Texas)","317","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_TX.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",3d7c453e-1a2e-4a92-8676-995331ca685d
"Hourly Global Climate Summaries -- Global","260","","","In a GIS map service, the results of these calculations are represented by a given symbology set for different statistical criteria and observation type. Having the ability to modify the symbology \"on-the-fly\" is a useful tool in the analysis of station trends, accuracy, and regional or localized variances. The summaries are computed from the global surface hourly dataset. This dataset totaling over 350 gigabytes is comprised of 40 different types of weather observations with 20,000 stations worldwide. NCDC and the U.S. Navy have developed these value added products in the form of hourly summaries from many of these observations. These data are a subset of the Integrated Surface Hourly dataset (DSI-3505) (C00532).","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://gis.ncdc.noaa.gov/all-records/catalog/search/resource/details.page?id=gov.noaa.ncdc:C00652","The Global Hourly Summaries are simple indicators of observational normals which include climatic data summarizations and frequency distributions. These typically are statistical analyses of station data over 5-, 10-, 20-, 30-year or longer time periods. ","NOAA Global Climate Summaries",3de46aa8-120c-454f-b022-464a236f45ed
"Social Vulnerability Index (2006-2010) -- U.S. (Massachusetts) ","302","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_MA.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",3de5d4fe-3e6e-4fdb-a21b-f667b42b7300
"Social Vulnerability Index (2006-2010) -- U.S. (Oregon) ","313","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_OR.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",4153f918-5bf3-40f0-8bc5-3385afb6a41e
"Social Vulnerability Index (2006-2010) -- U.S. (Mississippi) ","307","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_MI.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",4225a2b9-680a-43b7-90fb-0d631fc6c074
"Social Vulnerability Index (2006-2010) -- U.S. (Wisconsin) ","320","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_WI.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",430e4e39-7dce-4fb4-8cbb-de63644beb6c
"Levee Line -- U.S.","257","","","","U.S. Government Work","DOT","Department of Transportation","http://geoplatform.maps.arcgis.com/home/item.html?id=790e540fb71943cc991d796ea740d24c","A dyke (or dike) is an artificial embankment to contain or hold back water.(IHO Dictionary, S-32, 5th Edition, 1361) Distinction: dam; sloping ground; slope top line.","USACE Transportation Water ",44d122f1-fc5a-414e-9eff-d1ffb4b98888
"Projected Precipitation Change -- U.S. (Puget Sound)","20014","Abatzoglou, J. T., Brown, T. J. 2012. A comparison of statistical downscaling methods suited for wildfire applications. International Journal of Climatology, 32(5), 772-780. doi: http://dx.doi.org/10.1002/joc.2312","","These indicators are derived from the Multivariate Adaptive Constructed Analogs (MACA) CMIP5 Future Climate Dataset. For more information about this analysis, please see http://cses.washington.edu/picea/mauger/ps-sok/ps-sok_sec12_builtenvironment_2015.pdf. For more information about the MACA CMIP5 Future Climate Dataset please see http://maca.northwestknowledge.net/index.php\r","CC-0 (Public Domain)","University of Idaho","","http://maca.northwestknowledge.net","Projected precipitation change in the Puget Sound Lowlands relative to average precipitation between 1950-2005. ","MACAv2-LIVNEH CMIP5 Precipitation",49ef62d6-eebe-4a52-800e-d48d3d15996d
"Daily Outgoing Longwave Radiation (OLR) -- Global","184","","","The OLR is estimated directly from the HIRS radiance observations for all sky conditions. The observations from imagers onboard international operational geostationary satellites are incorporated to improve the sampling of the OLR diurnal variation. The Daily OLR CDR is at its initial version 1.2. The data file format is netCDF-4 with CF metadata, and it is accompanied by algorithm documentation, data flow diagram and source code for the NOAA CDR Program.","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://www.ncdc.noaa.gov/thredds/catalog/cdr/olr-daily/catalog.html","This Climate Data Record (CDR) contains the daily mean Outgoing Longwave Radiation (OLR) time series in global 1 degree x 1 degree equal-angle gridded maps spanning from January 1, 1979 to December 31, 2013, and continuing daily with a two-day lag.","NOAA Climate Data Record (CDR, Version 1.3)",4a24953a-b84b-45b9-8dd3-37b9b91b5483
"Temperature Minimum -- U.S. (Regional)","193","","","","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://www.cpc.ncep.noaa.gov/products/analysis_monitoring/regional_monitoring/usa.shtml","Current, 3-Month, 6-Month, 12-Month  Year-to-Date  Regional Temperature  Rank Maps","NOAA NCEI Indices",4c4ad239-3451-494c-aab5-e2e4940bb042
"Projected Temperature Change -- U.S. (Puget Sound)","20015","Abatzoglou, J. T., Brown, T. J. 2012. A comparison of statistical downscaling methods suited for wildfire applications. International Journal of Climatology, 32(5), 772-780. doi: http://dx.doi.org/10.1002/joc.2312","","These indicators are derived from the Multivariate Adaptive Constructed Analogs (MACA) CMIP5 Future Climate Dataset. For more information about this analysis, please see http://cses.washington.edu/picea/mauger/ps-sok/ps-sok_sec12_builtenvironment_2015.pdf. For more information about the MACA CMIP5 Future Climate Dataset please see http://maca.northwestknowledge.net/index.php\r","CC-0 (Public Domain)","University of Idaho","","http://maca.northwestknowledge.net","Projected increase in temperature in the Puget Sound Lowlands relative to average temperature between 1950-2005. ","MACAv2-LIVNEH CMIP5 Temperature",4e6fbd04-253d-4fae-929e-0dbc8e106c86
"USGS Land Cover - Canopy (2001) -- U.S. (Alaska)","326","Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ","","NLCD 2001 is based primarily on a decision-tree classification of circa 2001 Landsat satellite data. NLCD 2001 improves on NLCD92 in that it is comprised of three different elements: land cover, percent developed impervious surface and percent tree canopy density. NLCD 2001 also uses improved classification algorithms, which have resulted in data with more precise rendering of spatial boundaries between the land cover classes.","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd01_data.php","National Land Cover Database 2001 (NLCD 2001) is a 16-class (additional four classes in Alaska only) land cover classification scheme that has been applied consistently across all 50 United States and Puerto Rico at a spatial resolution of 30 meters.","USGS National Land Cover Database ",4f3caa64-9a3a-41f9-9bc2-c2d352ffe2b1
"Modified Palmer Drought Severity Index -- U.S. ","189","Palmer, W.C., 1965: Meteorological drought. Research Paper No. 45. U.S. Weather Bureau. [NOAA Library and Information Services Division, Washington, D.C. 20852]","","","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://www.cpc.ncep.noaa.gov/products/monitoring_and_data/drought.shtml","The Palmer Drought Severity Index (PDSI) and Crop Moisture Index (CMI) are indices of the relative dryness or wetness affecting water sensitive economies. The data is provided in graphical and tabular formats, for the contiguous United States.","NOAA NCEI Indices",509653ba-750f-470d-83eb-63ec1e703c57
"Social Vulnerability Index (2006-2010) -- U.S. (Connecticut) ","293","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_CT.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards",5246935a-a6e9-4ce4-9fdf-dedd8b2b2168
"USGS Land Cover - Canopy (2001) -- U.S. ","328","Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ","","NLCD 2001 is based primarily on a decision-tree classification of circa 2001 Landsat satellite data. NLCD 2001 improves on NLCD92 in that it is comprised of three different elements: land cover, percent developed impervious surface and percent tree canopy density. NLCD 2001 also uses improved classification algorithms, which have resulted in data with more precise rendering of spatial boundaries between the land cover classes.","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd01_data.php","National Land Cover Database 2001 (NLCD 2001) is a 16-class (additional four classes in Alaska only) land cover classification scheme that has been applied consistently across all 50 United States and Puerto Rico at a spatial resolution of 30 meters.","USGS National Land Cover Database ",588b4128-e349-4532-a389-355ace963c1d
"Social Vulnerability Index (2006-2010) -- U.S. (Washington) ","319","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_WA.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",5b6c0fc7-4e37-4da6-b889-0cfe4ef04753
"USGS Land Cover - Canopy (2001) -- U.S. (Puerto Rico)","329","Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ","","NLCD 2001 is based primarily on a decision-tree classification of circa 2001 Landsat satellite data. NLCD 2001 improves on NLCD92 in that it is comprised of three different elements: land cover, percent developed impervious surface and percent tree canopy density. NLCD 2001 also uses improved classification algorithms, which have resulted in data with more precise rendering of spatial boundaries between the land cover classes.","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd01_data.php","National Land Cover Database 2001 (NLCD 2001) is a 16-class (additional four classes in Alaska only) land cover classification scheme that has been applied consistently across all 50 United States and Puerto Rico at a spatial resolution of 30 meters.","USGS National Land Cover Database ",5c39cb8f-bc13-411e-b212-42d856ddbac0
"Hospitals -- U.S. and Puerto Rico","250","","","Data for all the states (except for AK,AS,GU,HI,KS,MP,MT,NY,PR,TX,VI,WI, & WY) was acquired from respective states departments or their open source websites and then geocoded and converted into a spatial database. Data for AK,AS,GU,HI,KS,MP,MT,NY,PR,TX,VI,WI,& WY was appended from HSIP version 2012 as verification and validation of data for these states was not complete at time of delivery. For the remaining states after geocoding the exact spatial location of each point was moved to rooftops wherever possible and points which have been physically verified have been labeled \"Geocode\", \"Imagery\", \"Imagery with other\" and \"Unverified\" depending on the methodology used to move the points. Attribution of some of the fields has not been completed for this interim delivery and will be completed in the next version.","U.S. Government Work","DOT","Department of Transportation","http://geoplatform.maps.arcgis.com/home/item.html?id=8a6b9e293d2d4de0b64ecbbe91164515","This is an INTERIM delivery of the HOSPITALS layer.This database contains locations of Hospitals for 50 states and Washington D.C. and Puerto Rico. The dataset only includes hospital facilities and does not include nursing homes.","Hospitals",5c810cd5-7969-4075-a9bb-78f1912babc6
"Maritime Limits and Boundaries -- U.S. ","186","","","The U.S. baseline and associated maritime limits are reviewed and approved through the interagency U.S. Baseline Committee, which is chaired by the U.S. Department of State. The Committee serves the function of gaining interagency consensus on the proper location of the baseline using the provisions of the 1958 Convention on the Territorial Sea and the Contiguous Zone, to ensure that the seaward extent of U.S. maritime zones do not exceed the breadth that is permitted by international law. In 2002 and in response to mounting requests for digital maritime zones, NOAA launched a project to re-evaluate the U.S. baseline in partnership with other federal agencies via the U.S. Baseline Committee. The focus of the baseline evaluation was NOAA's largest scale, most recent edition nautical charts as well as supplemental source materials for verification of certain charted features. This dataset is a result of the 2002-present initiative and reflects a multi-year iterative project whereby the baseline and associated maritime limits were re-evaluated on a state or regional basis. In addition to the U.S. maritime limits, the U.S. maritime boundaries with opposite or adjacent countries as well as the US/Canada International Boundary (on land and through the Great Lakes) are also included in this dataset.","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://maritimeboundaries.noaa.gov/arcgis/services/MaritimeBoundaries/US_Maritime_Limits_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities ","NOAA is responsible for depicting on its nautical charts the limits of the 12 nautical mile Territorial Sea, 24 nautical mile Contiguous Zone, and 200 nautical mile Exclusive Economic Zone (EEZ). The outer limit of each of these zones is measured from the U.S. normal baseline, which coincides with the low water line depicted on NOAA charts and includes closing lines across the entrances of legal bays and rivers, consistent with international law.","NOAA Maritime Limits and Boundaries",605f36d1-ca43-4335-8453-36fc65eef794
"ISD Station Location -- Global","262","","","Most digital observations are decoded either at operational centers and forwarded to the Federal Climate Complex (FCC) in Asheville, NC, or decoded at the FCC. The US Air Force Combat Climatology Center (AFCCC), the National Climatic Data Center (NCDC), and the US Navy's Fleet Numerical Meteorological and Oceanographical Command Detachment (FNMOD), make up the FCC in Asheville. Each agency is responsible for data ingest, quality control, and customer support for surface climatological data. All data are now stored in a single ASCII format. Numerous DOD and civilian customers use this database in climatological applications. ISD refers to the digital database and format in which hourly and synoptic (3-hourly) weather observations are stored. The format conforms to Federal Information Processing Standards (FIPS). The database includes data originating from various codes such as synoptic, airways, METAR (Meteorological Routine Weather Report), and SMARS (Supplementary Marine Reporting Station), as well as observations from automatic weather stations. The data are sorted by station-year-month-day-hour-minute. Parameters included are: air quality, atmospheric pressure, atmospheric temperature/dew point, atmospheric winds, clouds, precipitation, ocean waves, tides and more. ISD Version 1 was released in 2001, with Version 2 (additional quality control applied) in 2003. Since 2003, there have been continued incremental improvements in automated quality control software.","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://gis.ncdc.noaa.gov/all-records/catalog/search/resource/details.page?id=gov.noaa.ncdc:C00532","Integrated Surface Data (ISD) is digital data set DSI-3505, archived at the National Climatic Data Center (NCDC). The ISD database is composed of worldwide surface weather observations from over 20,000 stations, collected and stored from sources such as the Automated Weather Network (AWN), the Global Telecommunications System (GTS), the Automated Surface Observing System (ASOS), and data keyed from paper forms. ","NOAA Integrated Surface Global Hourly Data",60eaf89a-2e0c-44b9-b718-a4a777e69c7c
